Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
47,2.0,0.0,368.0,7.0,108.0,2482.0,0.0,57.31500001,57.31500001,0.0,425.0459909439087,,,,,,,,,,,,,,,,17.55867339257495,17.675984033546076,55.49171367066515,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,409.0,8.0,42.0,2524.0,0.0,24.206000010000018,24.206000010000018,0.0,431.4088213443756,,,,,,,,,,,,,,,,7.641643189737577,7.905184280081676,23.91660924846923,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,506.0,9.0,98.0,2622.0,0.0,51.208000010000006,51.208000010000006,0.0,444.87776803970337,,,,,,,,,,,,,,,,20.244608226039112,16.565514443704497,49.29356657865287,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,553.0,10.0,48.0,2670.0,0.0,31.205000010000017,31.205000010000017,0.0,451.7524654865265,,,,,,,,,,,,,,,,10.80752006411045,10.217988301736085,30.72777434132814,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,596.0,11.0,44.0,2714.0,0.0,9.609000009999988,9.609000009999988,0.0,458.1910002231598,,,,,,,,,,,,,,,,2.091298038830581,2.498065973015921,9.528602797127414,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,730.0,12.0,135.0,2849.0,0.0,89.91000000999996,89.91000000999996,0.0,476.15378642082214,,,,,,,,,,,,,,,,36.871066021613814,28.10336040026171,85.05433149459834,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,839.0,13.0,110.0,2959.0,0.0,53.51000001000003,53.51000001000003,0.0,491.0219576358795,,,,,,,,,,,,,,,,17.234177752414812,14.808805163723935,51.68315779277956,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,911.0,14.0,73.0,3032.0,0.0,46.80700001,46.80700001,0.0,501.09599113464355,,,,,,,,,,,,,,,,15.702038806005627,15.087204646677542,45.722175391358945,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,935.0,15.0,25.0,3057.0,0.0,7.60700001,7.60700001,0.0,505.29499077796936,,,,,,,,,,,,,,,,1.691668172682765,2.2609705536056293,7.573973947803416,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,1035.0,16.0,101.0,3158.0,0.0,28.722000010000066,28.722000010000066,0.0,518.985643863678,,,,,,,,,,,,,,,,7.9796530284566805,8.791939757758254,27.95198669384818,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,1087.0,17.0,53.0,3211.0,0.0,24.311000010000033,24.311000010000033,0.0,526.8485314846039,,,,,,,,,,,,,,,,6.264787427717556,7.598030260069928,24.009240304062747,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,1198.0,18.0,112.0,3323.0,0.0,68.20600000999998,68.20600000999998,0.0,541.8623354434967,,,,,,,,,,,,,,,,28.23257571078177,20.151157410753378,65.13732142753078,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,1331.0,19.0,134.0,3457.0,0.0,79.30700000999995,79.30700000999995,0.0,559.6902568340302,,,,,,,,,,,,,,,,29.55786614799863,23.249889784911197,75.45125506738358,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,1404.0,20.0,74.0,3531.0,0.0,50.40900000999999,50.40900000999999,0.0,569.8291456699371,,,,,,,,,,,,,,,,17.694797956601118,16.357006988175318,49.16644620537349,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,110.0,1.0,111.0,3642.0,0.0,31.4410000100001,31.4410000100001,0.0,628.6986427307129,,,,,,,,,,,,,,,,5.622719324849269,8.220767379756023,30.853354238505073,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,183.0,2.0,74.0,3716.0,0.0,51.20700001,51.20700001,0.0,638.9773931503296,,,,,,,,,,,,,,,,18.19882464833961,16.630782634660946,49.9284142248961,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,221.0,3.0,39.0,3755.0,0.0,18.80700001000002,18.80700001000002,0.0,644.8257775306702,,,,,,,,,,,,,,,,5.238316856762718,5.971930171307962,18.626570539983003,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,296.0,4.0,76.0,3831.0,0.0,50.807000009999996,50.807000009999996,0.0,655.2981884479523,,,,,,,,,,,,,,,,18.823684381134857,15.760838765311355,49.44466834976465,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,355.0,5.0,60.0,3891.0,0.0,37.40900000999999,37.40900000999999,0.0,663.9328315258026,,,,,,,,,,,,,,,,12.243108352810484,12.237009576187788,36.72337999718137,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,431.0,6.0,77.0,3968.0,0.0,61.606000009999995,61.606000009999995,0.0,674.509124994278,,,,,,,,,,,,,,,,24.929643876848242,19.554977689423662,59.77111819355309,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,475.0,7.0,45.0,4013.0,0.0,18.208000010000028,18.208000010000028,0.0,681.0636303424835,,,,,,,,,,,,,,,,4.661061502819224,5.464625807048761,18.020934238114073,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,523.0,8.0,49.0,4062.0,0.0,14.908000009999991,14.908000009999991,0.0,688.0484931468964,,,,,,,,,,,,,,,,4.329733624458005,4.563992597494592,14.714887683709724,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,643.0,9.0,121.0,4183.0,0.0,57.90600001000003,57.90600001000003,0.0,704.3439836502075,,,,,,,,,,,,,,,,26.566654658879436,15.523553571776732,54.772774225159665,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,749.0,10.0,107.0,4290.0,0.0,80.30900000999996,80.30900000999996,0.0,719.2626814842224,,,,,,,,,,,,,,,,30.762676119617645,25.64439516689892,77.1252816229435,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,801.0,11.0,53.0,4343.0,0.0,34.60800000999999,34.60800000999999,0.0,726.7595314979553,,,,,,,,,,,,,,,,12.035633305540403,11.39095280336405,34.01616324135324,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,826.0,12.0,26.0,4369.0,0.0,7.6080000100000005,7.6080000100000005,0.0,731.1017680168152,,,,,,,,,,,,,,,,1.6249504867026188,2.2399780893408874,7.574951199031465,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,870.0,13.0,45.0,4414.0,0.0,10.711000009999989,10.711000009999989,0.0,737.6265690326691,,,,,,,,,,,,,,,,2.350988671628325,2.9421537863045835,10.618174683131487,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,1051.0,14.0,182.0,4596.0,0.0,135.30800000999997,135.30800000999997,0.0,761.7314975261688,,,,,,,,,,,,,,,,57.97726225468102,39.42208648532859,124.93905459649926,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,1123.0,15.0,73.0,4669.0,0.0,47.70800001,47.70800001,0.0,771.7470226287842,,,,,,,,,,,,,,,,16.18162193953264,15.46521344325264,46.58951274309673,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,1240.0,16.0,118.0,4787.0,0.0,74.90600000999997,74.90600000999997,0.0,787.5233058929443,,,,,,,,,,,,,,,,30.052136777828895,21.228694513574126,71.46136136836239,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,1313.0,17.0,74.0,4861.0,0.0,46.20600001,46.20600001,0.0,797.7491683959961,,,,,,,,,,,,,,,,17.66008706493815,13.728705034956187,44.96177542968919,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,1342.0,18.0,30.0,4891.0,0.0,8.507000009999993,8.507000009999993,0.0,802.3338620662689,,,,,,,,,,,,,,,,1.8767872995540649,2.4266517455148833,8.461034212525457,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,1380.0,19.0,39.0,4930.0,0.0,14.507000009999993,14.507000009999993,0.0,808.0197279453278,,,,,,,,,,,,,,,,3.782372416562532,4.308030748238447,14.377647505676308,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,1571.0,20.0,192.0,5122.0,0.0,82.23800000999995,82.23800000999995,0.0,833.499281167984,,,,,,,,,,,,,,,,33.39821695597169,19.263336870996643,75.9348754468563,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,165.0,1.0,166.0,5288.0,0.0,113.71100000999998,113.71100000999998,0.0,906.3254981040955,,,,,,,,,,,,,,,,46.98007683393918,33.734232951032894,106.06535268508517,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
